category,city/state,language,impact,Type of Policy,expiration,section
Gives Officers Unfair Access to Information,Fremont,"Any officer involved in a shooting or death may be permitted to review available Mobile Audio/
Video (MAV), body-worn video, or other video or audio recordings prior to providing a recorded
statement or completing reports.
Upon request, non-law enforcement witnesses who are able to verify their presence and their
ability to contemporaneously perceive events at the scene of an incident may also be permitted
to review available MAV, body-worn video, or other video or audio recordings with approval of
assigned investigators or a supervisor.
Any MAV, body-worn and other known video or audio recordings of an incident should not be
publicly released during an ongoing investigation without consulting the prosecuting attorney or
City Attorney’s Office, as appropriate.",Permits officer to review body cam footage. ,Policy Manual,2016,310.8
Gives Officers Unfair Access to Information,Concord,"The involved officer shall be provided with a copy of his/her prior statement before proceeding with any
subsequent interviews.",Allows officer to review statements,Policy Manual,2016,310.7
Gives Officers Unfair Access to Information,Concord,"Administrative interviews should be recorded by the investigator. The officer may
also record the interview (Government Code § 3303(g)).",Permits officer to record interview.,Policy Manual,2016,310.7
Gives Officers Unfair Access to Information,Concord,"Any officer involved in a shooting or death may be permitted to review available Mobile Audio/
Video (MAV), body-worn video, or other video or audio recordings prior to providing a recorded
statement or completing reports.
Upon request, non-law enforcement witnesses who are able to verify their presence and their
ability to contemporaneously perceive events at the scene of an incident may also be permitted
to review available MAV, body-worn video, or other video or audio recordings with approval of
assigned investigators or a supervisor.
Any MAV, body-worn and other known video or audio recordings of an incident should not be
publicly released during an ongoing investigation without consulting the prosecuting attorney or
City Attorney’s Office, as appropriate.",Permits officer to review body cam footage. ,Policy Manual,2016,310.8
Gives Officers Unfair Access to Information,Glendale,"The involved officer shall be provided with a copy of his/her prior statement before proceeding with any
subsequent interviews.",Allows officer to review statements,Policy Manual,2016,306.7
Gives Officers Unfair Access to Information,Glendale,"Administrative interviews should be recorded by the investigator. The officer may
also record the interview (Government Code § 3303(g)).",Permits officer to record interview.,Policy Manual,2016,306.7
Gives Officers Unfair Access to Information,Glendale,"Any officer involved in a shooting or death may be permitted to review available Mobile Audio/
Video (MAV), body-worn video, or other video or audio recordings prior to providing a recorded
statement or completing reports.
Upon request, non-law enforcement witnesses who are able to verify their presence and their
ability to contemporaneously perceive events at the scene of an incident may also be permitted
to review available MAV, body-worn video, or other video or audio recordings with approval of
assigned investigators or a supervisor.
Any MAV, body-worn and other known video or audio recordings of an incident should not be
publicly released during an ongoing investigation without consulting the prosecuting attorney or
City Attorney’s Office, as appropriate.",Permits officer to review body cam footage. ,Policy Manual,2016,306.8
Gives Officers Unfair Access to Information,Alhambra,"The involved officer shall be provided with a copy of his/her prior statement before proceeding with any
subsequent interviews.",Allows officer to review statements,Policy Manual,2016,310.7
Gives Officers Unfair Access to Information,Alhambra,"Administrative interviews should be recorded by the investigator. The officer may
also record the interview (Government Code § 3303(g)).",Permits officer to record interview.,Policy Manual,2016,310.7
Gives Officers Unfair Access to Information,Alhambra,"Any officer involved in a shooting or death may be permitted to review available Mobile Audio/
Video (MAV), body-worn video, or other video or audio recordings prior to providing a recorded
statement or completing reports.
Upon request, non-law enforcement witnesses who are able to verify their presence and their
ability to contemporaneously perceive events at the scene of an incident may also be permitted
to review available MAV, body-worn video, or other video or audio recordings with approval of
assigned investigators or a supervisor.
Any MAV, body-worn and other known video or audio recordings of an incident should not be
publicly released during an ongoing investigation without consulting the prosecuting attorney or
City Attorney’s Office, as appropriate.",Permits officer to review body cam footage. ,Policy Manual,2016,310.8
Gives Officers Unfair Access to Information,Whittier,"The involved officer shall be provided with a copy of his/her prior statement before proceeding with any
subsequent interviews.",Allows officer to review statements,Policy Manual,2016,310.11
Gives Officers Unfair Access to Information,Whittier,"Administrative interviews should be recorded by the investigator. The officer may
also record the interview (Government Code § 3303(g)).",Permits officer to record interview.,Policy Manual,2016,310.11
Gives Officers Unfair Access to Information,Whittier,"Any officer involved in a shooting or death may be permitted to review available Mobile Audio/
Video (MAV), body-worn video, or other video or audio recordings prior to providing a recorded
statement or completing reports.
Upon request, non-law enforcement witnesses who are able to verify their presence and their
ability to contemporaneously perceive events at the scene of an incident may also be permitted
to review available MAV, body-worn video, or other video or audio recordings with approval of
assigned investigators or a supervisor.
Any MAV, body-worn and other known video or audio recordings of an incident should not be
publicly released during an ongoing investigation without consulting the prosecuting attorney or
City Attorney’s Office, as appropriate.",Permits officer to review body cam footage. ,Policy Manual,2016,310.8
Gives Officers Unfair Access to Information,Fontana,"The involved officer shall be provided with a copy of his/her prior statement before proceeding with any
subsequent interviews.",Allows officer to review statements,Policy Manual,2016,310.7
Gives Officers Unfair Access to Information,Fontana,"Administrative interviews should be recorded by the investigator. The officer may
also record the interview (Government Code § 3303(g)).",Permits officer to record interview.,Policy Manual,2016,310.7
Gives Officers Unfair Access to Information,Fontana,"Any officer involved in a shooting or death may be permitted to review available Mobile Audio/
Video (MAV), body-worn video, or other video or audio recordings prior to providing a recorded
statement or completing reports.
Upon request, non-law enforcement witnesses who are able to verify their presence and their
ability to contemporaneously perceive events at the scene of an incident may also be permitted
to review available MAV, body-worn video, or other video or audio recordings with approval of
assigned investigators or a supervisor.
Any MAV, body-worn and other known video or audio recordings of an incident should not be
publicly released during an ongoing investigation without consulting the prosecuting attorney or
City Attorney’s Office, as appropriate.",Permits officer to review body cam footage. ,Policy Manual,2016,310.8
Gives Officers Unfair Access to Information,Redlands,"The involved officer shall be provided with a copy of his/her prior statement before proceeding with any
subsequent interviews.",Allows officer to review statements,Policy Manual,2016,305.7
Gives Officers Unfair Access to Information,Redlands,"Administrative interviews should be recorded by the investigator. The officer may
also record the interview (Government Code § 3303(g)).",Permits officer to record interview.,Policy Manual,2016,305.7
Gives Officers Unfair Access to Information,Redlands,"Any officer involved in a shooting or death may be permitted to review available Mobile Audio/
Video (MAV), body-worn video, or other video or audio recordings prior to providing a recorded
statement or completing reports.
Upon request, non-law enforcement witnesses who are able to verify their presence and their
ability to contemporaneously perceive events at the scene of an incident may also be permitted
to review available MAV, body-worn video, or other video or audio recordings with approval of
assigned investigators or a supervisor.
Any MAV, body-worn and other known video or audio recordings of an incident should not be
publicly released during an ongoing investigation without consulting the prosecuting attorney or
City Attorney’s Office, as appropriate.",Permits officer to review body cam footage. ,Policy Manual,2016,305.8
Gives Officers Unfair Access to Information,Modesto,"The involved officer shall be provided with a copy of his/her prior statement before proceeding with any
subsequent interviews.",Allows officer to review statements,Policy Manual,2016,310.7
Gives Officers Unfair Access to Information,Modesto,"Administrative interviews should be recorded by the investigator. The officer may
also record the interview (Government Code § 3303(g)).",Permits officer to record interview.,Policy Manual,2016,310.7
Gives Officers Unfair Access to Information,Modesto,"Any officer involved in a shooting or death may be permitted to review available Mobile Audio/
Video (MAV), body-worn video, or other video or audio recordings prior to providing a recorded
statement or completing reports.
Upon request, non-law enforcement witnesses who are able to verify their presence and their
ability to contemporaneously perceive events at the scene of an incident may also be permitted
to review available MAV, body-worn video, or other video or audio recordings with approval of
assigned investigators or a supervisor.
Any MAV, body-worn and other known video or audio recordings of an incident should not be
publicly released during an ongoing investigation without consulting the prosecuting attorney or
City Attorney’s Office, as appropriate.",Permits officer to review body cam footage. ,Policy Manual,2016,310.8
Gives Officers Unfair Access to Information,South Gate,"The involved officer shall be provided with a copy of his/her prior statement before proceeding with any
subsequent interviews.",Allows officer to review statements,Policy Manual,2016,310.7
Gives Officers Unfair Access to Information,South Gate,"Administrative interviews should be recorded by the investigator. The officer may
also record the interview (Government Code § 3303(g)).",Permits officer to record interview.,Policy Manual,2016,310.7
Gives Officers Unfair Access to Information,South Gate,"Any officer involved in a shooting or death may be permitted to review available Mobile Audio/
Video (MAV), body-worn video, or other video or audio recordings prior to providing a recorded
statement or completing reports.
Upon request, non-law enforcement witnesses who are able to verify their presence and their
ability to contemporaneously perceive events at the scene of an incident may also be permitted
to review available MAV, body-worn video, or other video or audio recordings with approval of
assigned investigators or a supervisor.
Any MAV, body-worn and other known video or audio recordings of an incident should not be
publicly released during an ongoing investigation without consulting the prosecuting attorney or
City Attorney’s Office, as appropriate.",Permits officer to review body cam footage. ,Policy Manual,2016,310.8
Gives Officers Unfair Access to Information,Vallejo,"The involved officer shall be provided with a copy of his/her prior statement before proceeding with any
subsequent interviews.",Allows officer to review statements,Policy Manual,2016,306.7
Gives Officers Unfair Access to Information,Vallejo,"Administrative interviews should be recorded by the investigator. The officer may
also record the interview (Government Code § 3303(g)).",Permits officer to record interview.,Policy Manual,2016,306.7
Gives Officers Unfair Access to Information,Vallejo,"Any officer involved in a shooting or death may be permitted to review available Mobile Audio/
Video (MAV), body-worn video, or other video or audio recordings prior to providing a recorded
statement or completing reports.
Upon request, non-law enforcement witnesses who are able to verify their presence and their
ability to contemporaneously perceive events at the scene of an incident may also be permitted
to review available MAV, body-worn video, or other video or audio recordings with approval of
assigned investigators or a supervisor.
Any MAV, body-worn and other known video or audio recordings of an incident should not be
publicly released during an ongoing investigation without consulting the prosecuting attorney or
City Attorney’s Office, as appropriate.",Permits officer to review body cam footage. ,Policy Manual,2016,306.8
Gives Officers Unfair Access to Information,Anaheim,"The involved officer shall be provided with a copy of his/her prior statement before proceeding with any
subsequent interviews.",Allows officer to review statements,Policy Manual,2016,310.7
Gives Officers Unfair Access to Information,Anaheim,"Administrative interviews should be recorded by the investigator. The officer may
also record the interview (Government Code § 3303(g)).",Permits officer to record interview.,Policy Manual,2016,310.7
Gives Officers Unfair Access to Information,Chico,"The involved officer shall be provided with a copy of his/her prior statement before proceeding with any
subsequent interviews.",Allows officer to review statements,Policy Manual,2016,310.7
Gives Officers Unfair Access to Information,Chico,"Administrative interviews should be recorded by the investigator. The officer may
also record the interview (Government Code § 3303(g)).",Permits officer to record interview.,Policy Manual,2016,310.7
Gives Officers Unfair Access to Information,Chico,"Any officer involved in a shooting or death may be permitted to review available Mobile Audio/
Video (MAV), body-worn video, or other video or audio recordings prior to providing a recorded
statement or completing reports.
Upon request, non-law enforcement witnesses who are able to verify their presence and their
ability to contemporaneously perceive events at the scene of an incident may also be permitted
to review available MAV, body-worn video, or other video or audio recordings with approval of
assigned investigators or a supervisor.
Any MAV, body-worn and other known video or audio recordings of an incident should not be
publicly released during an ongoing investigation without consulting the prosecuting attorney or
City Attorney’s Office, as appropriate.",Permits officer to review body cam footage. ,Policy Manual,2016,310.8
Gives Officers Unfair Access to Information,Visalia,"The involved officer shall be provided with a copy of his/her prior statement before proceeding with any
subsequent interviews.",Allows officer to review statements,Policy Manual,2016,310.7
Gives Officers Unfair Access to Information,Visalia,"Administrative interviews should be recorded by the investigator. The officer may
also record the interview (Government Code § 3303(g)).",Permits officer to record interview.,Policy Manual,2016,310.7
Gives Officers Unfair Access to Information,Visalia,"Any officer involved in a shooting or death may be permitted to review available Mobile Audio/
Video (MAV), body-worn video, or other video or audio recordings prior to providing a recorded
statement or completing reports.
Upon request, non-law enforcement witnesses who are able to verify their presence and their
ability to contemporaneously perceive events at the scene of an incident may also be permitted
to review available MAV, body-worn video, or other video or audio recordings with approval of
assigned investigators or a supervisor.
Any MAV, body-worn and other known video or audio recordings of an incident should not be
publicly released during an ongoing investigation without consulting the prosecuting attorney or
City Attorney’s Office, as appropriate.",Permits officer to review body cam footage. ,Policy Manual,2016,310.8
Gives Officers Unfair Access to Information,Gardena,"The involved officer shall be provided with a copy of his/her prior statement before proceeding with any
subsequent interviews.",Allows officer to review statements,Policy Manual,2016,305.7
Gives Officers Unfair Access to Information,Gardena,"Administrative interviews should be recorded by the investigator. The officer may
also record the interview (Government Code § 3303(g)).",Permits officer to record interview.,Policy Manual,2016,305.7
Gives Officers Unfair Access to Information,Gardena,"Any officer involved in a shooting or death may be permitted to review available Mobile Audio/
Video (MAV), body-worn video, or other video or audio recordings prior to providing a recorded
statement or completing reports.
Upon request, non-law enforcement witnesses who are able to verify their presence and their
ability to contemporaneously perceive events at the scene of an incident may also be permitted
to review available MAV, body-worn video, or other video or audio recordings with approval of
assigned investigators or a supervisor.
Any MAV, body-worn and other known video or audio recordings of an incident should not be
publicly released during an ongoing investigation without consulting the prosecuting attorney or
City Attorney’s Office, as appropriate.",Permits officer to review body cam footage. ,Policy Manual,2016,305.8
Gives Officers Unfair Access to Information,Newport,"The involved officer shall be provided with a copy of his/her prior statement before proceeding with any
subsequent interviews.",Allows officer to review statements,Policy Manual,2016,310.7
Gives Officers Unfair Access to Information,Newport,"Administrative interviews should be recorded by the investigator. The officer may
also record the interview (Government Code § 3303(g)).",Permits officer to record interview.,Policy Manual,2016,310.7
Gives Officers Unfair Access to Information,Newport,"Any officer involved in a shooting or death may be permitted to review available Mobile Audio/
Video (MAV), body-worn video, or other video or audio recordings prior to providing a recorded
statement or completing reports.
Upon request, non-law enforcement witnesses who are able to verify their presence and their
ability to contemporaneously perceive events at the scene of an incident may also be permitted
to review available MAV, body-worn video, or other video or audio recordings with approval of
assigned investigators or a supervisor.
Any MAV, body-worn and other known video or audio recordings of an incident should not be
publicly released during an ongoing investigation without consulting the prosecuting attorney or
City Attorney’s Office, as appropriate.",Permits officer to review body cam footage. ,Policy Manual,2016,310.8
Gives Officers Unfair Access to Information,San Bernardino,"The involved officer shall be provided with a copy of his/her prior statement before proceeding with any
subsequent interviews.",Allows officer to review statements,Policy Manual,2016,310.7
Gives Officers Unfair Access to Information,San Bernardino,"Administrative interviews should be recorded by the investigator. The officer may
also record the interview (Government Code § 3303(g)).",Permits officer to record interview.,Policy Manual,2016,310.7
Gives Officers Unfair Access to Information,San Bernardino,"Any officer involved in a shooting or death may be permitted to review available Mobile Audio/
Video (MAV), body-worn video, or other video or audio recordings prior to providing a recorded
statement or completing reports.
Upon request, non-law enforcement witnesses who are able to verify their presence and their
ability to contemporaneously perceive events at the scene of an incident may also be permitted
to review available MAV, body-worn video, or other video or audio recordings with approval of
assigned investigators or a supervisor.
Any MAV, body-worn and other known video or audio recordings of an incident should not be
publicly released during an ongoing investigation without consulting the prosecuting attorney or
City Attorney’s Office, as appropriate.",Permits officer to review body cam footage. ,Policy Manual,2016,310.8
Gives Officers Unfair Access to Information,Milpitas,"The involved officer shall be provided with a copy of his/her prior statement before proceeding with any
subsequent interviews.",Allows officer to review statements,Policy Manual,2016,1020.6
Gives Officers Unfair Access to Information,Milpitas,"Administrative interviews should be recorded by the investigator. The officer may
also record the interview (Government Code § 3303(g)).",Permits officer to record interview.,Policy Manual,2016,1020.6
Gives Officers Unfair Access to Information,Murrieta,"The involved officer shall be provided with a copy of his/her prior statement before proceeding with any
subsequent interviews.",Allows officer to review statements,Policy Manual,2016,310.7
Gives Officers Unfair Access to Information,Murrieta,"Administrative interviews should be recorded by the investigator. The officer may
also record the interview (Government Code § 3303(g)).",Permits officer to record interview.,Policy Manual,2016,310.7
Gives Officers Unfair Access to Information,Murrieta,"Any officer involved in a shooting or death may be permitted to review available Mobile Audio/
Video (MAV), body-worn video, or other video or audio recordings prior to providing a recorded
statement or completing reports.
Upon request, non-law enforcement witnesses who are able to verify their presence and their
ability to contemporaneously perceive events at the scene of an incident may also be permitted
to review available MAV, body-worn video, or other video or audio recordings with approval of
assigned investigators or a supervisor.
Any MAV, body-worn and other known video or audio recordings of an incident should not be
publicly released during an ongoing investigation without consulting the prosecuting attorney or
City Attorney’s Office, as appropriate.",Permits officer to review body cam footage. ,Policy Manual,2016,310.8
Gives Officers Unfair Access to Information,Santa Barbara,"The involved officer shall be provided with a copy of his/her prior statement before proceeding with any
subsequent interviews.",Allows officer to review statements,Policy Manual,2016,305.7
Gives Officers Unfair Access to Information,Santa Barbara,"Administrative interviews should be recorded by the investigator. The officer may
also record the interview (Government Code § 3303(g)).",Permits officer to record interview.,Policy Manual,2016,305.7
Gives Officers Unfair Access to Information,Santa Ana,"The involved officer shall be provided with a copy of his/her prior statement before proceeding with any
subsequent interviews.",Allows officer to review statements,Policy Manual,2016,310.7
Gives Officers Unfair Access to Information,Santa Ana,"Administrative interviews should be recorded by the investigator. The officer may
also record the interview (Government Code § 3303(g)).",Permits officer to record interview.,Policy Manual,2016,310.7
Gives Officers Unfair Access to Information,Santa Ana,"Any officer involved in a shooting or death may be permitted to review available Mobile Audio/
Video (MAV), body-worn video, or other video or audio recordings prior to providing a recorded
statement or completing reports.
Upon request, non-law enforcement witnesses who are able to verify their presence and their
ability to contemporaneously perceive events at the scene of an incident may also be permitted
to review available MAV, body-worn video, or other video or audio recordings with approval of
assigned investigators or a supervisor.
Any MAV, body-worn and other known video or audio recordings of an incident should not be
publicly released during an ongoing investigation without consulting the prosecuting attorney or
City Attorney’s Office, as appropriate.",Permits officer to review body cam footage. ,Policy Manual,2016,310.8
Gives Officers Unfair Access to Information,Bakersfield,"The involved officer shall be provided with a copy of his/her prior statement before proceeding with any
subsequent interviews.",Allows officer to review statements,Policy Manual,2016,310.7
Gives Officers Unfair Access to Information,Bakersfield,"Administrative interviews should be recorded by the investigator. The officer may
also record the interview (Government Code § 3303(g)).",Permits officer to record interview.,Policy Manual,2016,310.7
Gives Officers Unfair Access to Information,Bakersfield,"Any officer involved in a shooting or death may be permitted to review available Mobile Audio/
Video (MAV), body-worn video, or other video or audio recordings prior to providing a recorded
statement or completing reports.
Upon request, non-law enforcement witnesses who are able to verify their presence and their
ability to contemporaneously perceive events at the scene of an incident may also be permitted
to review available MAV, body-worn video, or other video or audio recordings with approval of
assigned investigators or a supervisor.
Any MAV, body-worn and other known video or audio recordings of an incident should not be
publicly released during an ongoing investigation without consulting the prosecuting attorney or
City Attorney’s Office, as appropriate.",Permits officer to review body cam footage. ,Policy Manual,2016,310.8
Gives Officers Unfair Access to Information,San Mateo,"The involved officer
shall be provided with a copy of his or her prior statement before proceeding with
any subsequent interview(s) (Government Code § 3303(g))",Allows officer to review statements,Policy Manual,2017,310.7
Gives Officers Unfair Access to Information,San Mateo,"Administrative interview(s) should be recorded by the investigator (the officer may
also record the interview) (Government Code § 3303(g)).",Permits officer to record interview.,Policy Manual,2017,310.7
Gives Officers Unfair Access to Information,Redwood,"The involved officer shall be provided with a copy of his/her prior statement before proceeding with any
subsequent interviews.",Allows officer to review statements,Policy Manual,2016,310.7
Gives Officers Unfair Access to Information,Redwood,"Administrative interviews should be recorded by the investigator. The officer may
also record the interview (Government Code § 3303(g)).",Permits officer to record interview.,Policy Manual,2016,310.7
Gives Officers Unfair Access to Information,Redwood,"Any officer involved in a shooting or death may be permitted to review available Mobile Audio/
Video (MAV), body-worn video, or other video or audio recordings prior to providing a recorded
statement or completing reports.
Upon request, non-law enforcement witnesses who are able to verify their presence and their
ability to contemporaneously perceive events at the scene of an incident may also be permitted
to review available MAV, body-worn video, or other video or audio recordings with approval of
assigned investigators or a supervisor.
Any MAV, body-worn and other known video or audio recordings of an incident should not be
publicly released during an ongoing investigation without consulting the prosecuting attorney or
City Attorney’s Office, as appropriate.",Permits officer to review body cam footage. ,Policy Manual,2016,310.8
Gives Officers Unfair Access to Information,Tustin,"Absent circumstances preventing it, the interviewer should record all interviews of
employees and witnesses. The employee may also record the interview. If the employee
has been previously interviewed, a copy of that recorded interview shall be provided to the
employee prior to any subsequent interview (Government Code § 3303(g));",Allows officers to record interviews,Policy Manual,2016,1020.6
Gives Officers Unfair Access to Information,Chino,"The involved officer shall be provided with a copy of his/her prior statement before proceeding with any
subsequent interviews.",Allows officer to review statements,Policy Manual,2016,310.7
Gives Officers Unfair Access to Information,Chino,"Administrative interviews should be recorded by the investigator. The officer may
also record the interview (Government Code § 3303(g)).",Permits officer to record interview.,Policy Manual,2016,310.7
Gives Officers Unfair Access to Information,Chino,"Any officer involved in a shooting or death may be permitted to review available Mobile Audio/
Video (MAV), body-worn video, or other video or audio recordings prior to providing a recorded
statement or completing reports.
Upon request, non-law enforcement witnesses who are able to verify their presence and their
ability to contemporaneously perceive events at the scene of an incident may also be permitted
to review available MAV, body-worn video, or other video or audio recordings with approval of
assigned investigators or a supervisor.
Any MAV, body-worn and other known video or audio recordings of an incident should not be
publicly released during an ongoing investigation without consulting the prosecuting attorney or
City Attorney’s Office, as appropriate.",Permits officer to review body cam footage. ,Policy Manual,2016,310.8
Gives Officers Unfair Access to Information,Garden Grove,"The employee under investigation shall be informed prior to such interview of the
nature of the investigation; the rank, name, and command of the officer in charge of
the investigation; the interviewing officers; and all persons present during the
interview. All questions directed to the employee being interviewed shall be asked
by and through no more than two interviewers.",Provides information to officer prior to interrogation.,Policy Manual,2015,1.2
Gives Officers Unfair Access to Information,Escondido,"Officers may review video from their device prior to submitting a written document on the incident or being interviewed, but the Chief of Police or his designee may restrict access that could compromise an investigation.",Permits officers to review video prior to making statement. ,Policy Manual,2016,1.51.
Gives Officers Unfair Access to Information,Costa Mesa,"A supervisor may review any DAR or DVARS recorded event. Departmental personnel may
review their own recorded events. At no time shall any recorded event be used or shown for the
purpose of personnel ridicule or embarrassment.",Permits officers to review recordings. ,Policy Manual,2016,720.4.
Gives Officers Unfair Access to Information,Costa Mesa,"The involved officer shall be provided with a copy of his or her prior statement before proceeding with any subsequent interview(s), Government Code 3303(g).",Permits officer to review statement before proceeding with interviews. ,Policy Manual,2016,1500.18
Gives Officers Unfair Access to Information,Costa Mesa,"Administrative interview (s) should be tape recorded by the Department (the
officer may also record the interview, Government Code 3303(g).",Permits officer to record interview.,Policy Manual,2016,1500.18
Gives Officers Unfair Access to Information,Roseville,"Administrative interview(s) should be recorded by the investigator (the officer
may also record the interview) (Government Code § 3303(g)).",Permits officers to record interviews. ,Policy Manual,2014,310.6
Gives Officers Unfair Access to Information,Roseville,"The
involved officer shall be provided with a copy of his or her prior statement before
proceeding with any subsequent interview(s) (Government Code § 3303(g))",Allows officer to review statements.,Policy Manual,2014,310.6
Gives Officers Unfair Access to Information,Roseville,"Any officer involved in an incident may be permitted to review available Mobile Audio
Video (MAV) or other video or audio recordings prior to providing a recorded statement or
completing reports.",Permits officers to review recordings prior to making a statement. ,Policy Manual,2014,310.7
Gives Officers Unfair Access to Information,Buena Park,The involved officer shall be provided with a copy of his or her prior statement before proceeding with any subsequent interview(s) (Government Code § 3303(g)).,Allows officers to review statements before interviews. ,Policy Manual,2016,310.7
Gives Officers Unfair Access to Information,Buena Park,Administrative interview(s) should be recorded by the investigator (the officer may also record the interview) Government Code § 3303 (g));,Permits officer to record interview.,Policy Manual,2016,310.7
Gives Officers Unfair Access to Information,Buena Park,Any officer involved in an incident will be permitted to review their own video or audio recordings prior to providing a recorded statement or completing reports.,Permits officers to review recordings prior to making a statement. ,Policy Manual,2016,310.8
Gives Officers Unfair Access to Information,Fresno ,"The complainant should
be provided with a copy of his/her own original complaint per Penal Code §832.7.",Allows officer to review original complaint prior to making another statement,Policy Manual,2016,1020.2
Gives Officers Unfair Access to Information,Burbank,"Prior to any interview, an employee shall be informed of the nature of the investigation
(Government Code § 3303(c));",Provides information to officer prior to interrogation.,Policy Manual,2016,1020.7
Gives Officers Unfair Access to Information,Burbank,"Absent circumstances preventing it, the interviewer should record all interviews of
employees and witnesses. The employee may also record the interview. If the employee
has been previously interviewed, a copy of that recorded interview shall be provided to the
employee prior to any subsequent interview (Government Code § 3303(g));",Permits officer to record interview.,Policy Manual,2016,1020.7
Gives Officers Unfair Access to Information,Huntington Beach,"The involved officer shall be provided with a copy of his/her prior statement before proceeding with any
subsequent interviews.",Allows officer to review statements,Policy Manual,2016,310.7
Gives Officers Unfair Access to Information,Huntington Beach,"Administrative interviews should be recorded by the investigator. The officer may
also record the interview (Government Code § 3303(g)).",Permits officer to record interview.,Policy Manual,2016,310.7
Gives Officers Unfair Access to Information,Huntington Beach,"Any officer involved in an incident may be permitted to review available Mobile Audio Video (MAV)
or other video or audio recordings prior to providing a recorded statement or completing reports.",Permits officers to review video prior to making statement. ,Policy Manual,2016,310.8
Gives Officers Unfair Access to Information,Corona,"Officers may listen to and view relevant digital audio and video recordings captured by
them pursuant to this policy prior to being interviewed in an administrative investigation, or
completing any official police report that relates to those recordings to ensure that reports
are accurate and complete. To view relevant video, officers should contact their supervisors
who will pull up the event in question.",Permits officers to review video prior to making statement. ,Policy Manual,2015,446.5
Gives Officers Unfair Access to Information,Corona,"The involved officer
shall be provided with a copy of his or her prior statement before proceeding with
any subsequent interview(s) (Government Code § 3303(g))",Provides information to officer prior to interrogation.,Policy Manual,2015,310.7
Gives Officers Unfair Access to Information,Corona,"Administrative interview(s) should be recorded by the investigator (the officer may
also record the interview) (Government Code § 3303(g)).",Permits officers to record interviews. ,Policy Manual,2015,310.7
Gives Officers Unfair Access to Information,Corona,"Any officer involved in an incident may be permitted to review available Mobile Audio Video (MAV)
or other video or audio recordings prior to providing a recorded statement or completing reports.",Permits officer to review video evidence. ,Policy Manual,2015,310.8
Gives Officers Unfair Access to Information,Redondo Beach,"The involved officer
shall be provided with a copy of his or her prior statement before proceeding with
any subsequent interview(s) (Government Code § 3303(g))",Provides information to officer prior to interrogation.,Policy Manual,2015,310.7
Gives Officers Unfair Access to Information,Redondo Beach,"Administrative interview(s) should be recorded by the investigator (the officer may
also record the interview) (Government Code § 3303(g)).",Permits officers to record interviews. ,Policy Manual,2015,310.7
Gives Officers Unfair Access to Information,Pittsburg,"The involved officer
shall be provided with a copy of his or her prior statement before proceeding with
any subsequent interview(s) (Government Code § 3303(g))",Provides information to officer prior to interrogation.,Policy Manual,2015,306.7
Gives Officers Unfair Access to Information,Pittsburg,"Administrative interview(s) should be recorded by the investigator (the officer may
also record the interview) (Government Code § 3303(g)).",Permits officers to record interviews. ,Policy Manual,2015,306.7
Gives Officers Unfair Access to Information,Pittsburg,"Any officer involved in an incident may be permitted to review available Mobile Audio Video (MAV)
or other video or audio recordings prior to providing a recorded statement or completing reports.",Permits officer to review video evidence. ,Policy Manual,2015,306.8
Gives Officers Unfair Access to Information,Beverly Hills ,"Officers shall be allowed to review the
recordings from their BWV. To help ensure
accuracy and consistency, officers are
encouraged to review recordings prior to
preparing reports.",Permits officers to review video prior to making statement. ,Policy Manual,2016,4/298.30
Gives Officers Unfair Access to Information,Ventura,"Prior to any interview, an employee shall be informed of the nature of the investigation
(Government Code § 3303(c)).",Provides information to officer prior to interrogation.,Policy Manual,2017,1020.6
Gives Officers Unfair Access to Information,Santa Cruz,"The
involved officer shall be provided with a copy of his or her prior statement
before proceeding with any subsequent interview(s). (Govt. Code § 3303(g))",Allows officer to review statement prior to interview,Policy Manual,2008,310.8
Gives Officers Unfair Access to Information,Santa Cruz,"Administrative interview(s) should be tape recorded by the department (the
officer may also record the interview Govt.
Code § 3303(g))",Permits officers to record interviews. ,Policy Manual,2008,310.8
Gives Officers Unfair Access to Information,Elk Grove,"The involved officer shall be provided with a copy of his or her prior statement
before proceeding with any subsequent interview(s). (Govt. Code § 3303(g))",Allows officer to review statement prior to interview,Policy Manual,2016,310.7
Gives Officers Unfair Access to Information,Elk Grove,"Administrative interview(s) should be tape recorded by the department (the officer may also record the interview Govt.
Code § 3303(g))",Permits officers to record interviews. ,Policy Manual,2016,310.7
Gives Officers Unfair Access to Information,Elk Grove,"Any officer involved in a shooting or death may be permitted to review their own available Mobile
Audio/Video (MAV), body-worn video, or other video or audio recordings prior to providing a
recorded statement or completing reports. The",Allows officers to review statements before interviews. ,Policy Manual,2016,310.8
Gives Officers Unfair Access to Information,Oxnard,"The involved officer shall be provided with a copy of his or her prior statement
before proceeding with any subsequent interview(s). (Govt. Code § 3303(g))",Allows officer to review statement prior to interview,Policy Manual,2016,310.6
Gives Officers Unfair Access to Information,Oxnard,"Administrative interview(s) should be tape recorded by the department (the officer may also record the interview Govt.
Code § 3303(g))",Permits officers to record interviews. ,Policy Manual,2016,310.6
Gives Officers Unfair Access to Information,Oxnard,"When preparing written reports or for oral statement or testimony, employees should review his/her recordings as a resource. ",Allows officers to review video footage. ,Policy Manual,2016,450.1
Gives Officers Unfair Access to Information,Berkeley,"The complainant shall be provided with a copy of his or her statement, if requested.",Allows officers to review statements before interviews. ,Policy Manual,2010,34
