category,city/state,language,impact,Type of Policy,expiration,section,,,,
Erases misconduct records,Chicago,"All disciplinary investigation files, disciplinary history card entries, IPRA and IAD disciplinary
 
 records, and any other disciplinary record or summary of such record other than records related to
 
 Police Board cases, will be destroyed five (5) years after the date of the incident or the date upon
 
 which the violation is discovered, whichever is longer, except that not sustained files alleging
 
 criminal conduct or excessive force shall be retained for a period of seven (7) years after the date of
 
 the incident or the date upon which the violation is discovered, whichever is longer, and thereafter,
 
 cannot be used against the Officer in any future proceedings in any other forum, except as specified
 
 below, unless the investigation relates to a matter which has been subject to either civil or criminal
 
 court litigation or arbitration prior to the expiration of the five- (5-) year period. In such instances,
 
 the Complaint Register case files normally will be destroyed immediately after the date of the final
 
 arbitration award or the final court adjudication, unless a pattern of sustained infractions exists.
 
 Any information of an adverse employment nature which may be contained in any unfounded,
 
 exonerated, or otherwise not sustained file, shall not be used against the Officer in any future
 
 proceedings. Information contained in files alleging excessive force or criminal conduct which are
 
 not sustained may be used in future disciplinary proceedings to determine credibility and notice.
 
 A finding of ""Sustained Violation Noted, No Disciplinary Action"" entered upon a member's
 
 disciplinary record or any record of Summary Punishment may be used for a period of time not to
 
 exceed one (1) year and shall thereafter be removed from the Officer's disciplinary record and not
 
 used to support or as evidence of adverse employment action. The Department's finding of
 
 ""Sustained Violation Noted, No Disciplinary Action"" is not subject to the grievance procedure.
 
 Reprimands and suspensions of one (1) to five (5) days will stay on the Officers disciplinary
 
 history for a period of three (3) years from the last date of suspension or date of reprimand, or
 
 five (5) years from the date of the incident, whichever is earlier. Information relating to a preventable traffic accident involving a Department Vehicle may be used
 
 and/or considered in determining future discipline for a period of time not to exceed two (2) years
 
 from the date of such preventable traffic accident and shall thereafter not be used and/or considered
 
 in any employment action provided there is no intervening preventable traffic accident involving a
 
 Department Vehicle and if there is, the two-year period shall continue to run from the date of the
 
 most recent preventable traffic accident and any prior incidents may be used and/or considered in
 
 employment actions. In no event shall any prior incident five (5) or more years old be used and/or
 
 considered.","Erases sustained violations after 1-7 years, depending on status of the case and its findings",Contract,6/30/17,8.4,75,Yes,Yes,@samswey
Erases misconduct records,Cincinnati,"I. All disciplinary penalties of less than thirty (30) days suspension, demotion, loss
 
 of vacation or reduction of pay shall be removed from the member's personnel
 
 service record three (3) years after the date of the incident which is the subject
 
 matter of the allegation or charge provided no other suspension or demotion has
 
 occurred during the previous three (3) year period.
 
 2. All disciplinary penalties of thirty (30) days or more suspension, demotion, loss of
 
 vacation or reduction of pay shall be removed from the member's personnel
 
 service record five (5) years after the date of the incident which is the subject
 
 matter of the allegation or charge provided no other suspension or demotion has
 
 occurred during the previous five (5) year period.
 
 3. All entries and copies placed in the member's personnel service record pertaining
 
 to allegations or charges which are determined to be ""not sustained"" or
 
 ""unfounded"" or which result in an exoneration of the accused member shall be
 
 immediately removed from the member's personnel service record and destroyed
 
 in accordance with law.",Erases disciplinary records after 3-5 years,Contract,5/21/16,Article XI,89,,Yes,@samswey
Erases misconduct records,Cleveland,"Verbal disciplinary warnings and disciplinary written reprimands shall be removed from a Police Officer's record after six (6) months, but all other disciplinary actions or penalties will be removed after two (2) years from the date the discipline was administered.",Erases sustained violations after 6 months to 2 years,Contract,3/13/16,7.10.,96,,Yes,@samswey
Erases misconduct records,Columbus,"Records of a positive drug or alcohol test or refusal to submit such test as provided in this Article 17 shall be maintained for a period of six (6) years from the date of the inicident which gave rise to the positive test or refusal.""
 
 ""All such records shall not be utilized for any purpose after four (4) years from the date of the incident which gave rise to the positive test or refusal.",Erases drug or alcohol test records after 6 years.,Contract,12/8/17,17.15,102,,Yes,@samswey
Erases misconduct records,Columbus,"Section 10.10 establishes the periods of records retention. This Section establishes the period of time for administrative use of the records listed. While a supervisor may retain private, written notes to document reprimands, such notes shall not appear in any member's personnel files, and if found, shall be removed. The records of the Fleet Safety Committee are exempt from this Section.
 
 (A) Documented constructive counseling Not more than nine (9) months following the date of the incident that gave rise to the documented constructive counseling.
 
 (B) Written reprimands Not more than three (3) years following the date of the incident that gave rise to the written reprimand.
 
 (C) Suspensions Not more than four (4) years following the date of the incident that gave rise to the suspension, provided no subsequent action of record of the same or similar nature has occurred within the four (4) year period.
 
 (D) Demotions and Terminations - Four (4) years following the date of the incident that gave rise to the demotion or termination, provided no subsequent action of record of the same or similar nature has occurred within the four (4) year period.
 
 (E) Documented constructive counseling, written reprimand, suspension, demotion or termination records that are no longer usable for any administrative purposes will be maintained pursuant to Section 10.10(I) of this Contract.",Erases records after three/four years,Contract,12/8/17,10.11,103,,Yes,@samswey
Erases misconduct records,Columbus,The computerized disciplinary data base and disciplinary tracking system shall expunge disciplinary records in accordance with the time schedule set forth in Section 10.10.,Erases records,Contract,12/8/17,10.12,104,,Yes,@samswey
Erases misconduct records,Columbus,"Records are deleted automatically based on the schedule below, while an even shorter schedule is provided for the use of past discipline as a consideration in future discipinary decisions.
 
 ""(B) Written Reprimands/Fleet Safety Records. Record of written reprimands and fleet safety records shall be maintained in each member's Division master personnel file for at least three (3) years following the date of the incident which gave rise to the written reprimand or fleet safety record, so long as there is no subsequent action of record or fleet safety record during the three (3)-year period. After three (3) years or any extension of such three (3)-year period caused by subsequent action of record or fleet safety record, the written reprimand or fleet safety record shall be removed from the file.
 
 (C) Suspension/Forfeiture of Accrued Leave in Lieu of Suspension. Record of a suspension or forfeiture of accrued leave in lieu of suspension, shall be maintained in each member's Division master personnel file for at least six (6) years following the date of the incident which gave rise to the suspension or forfeiture of accrued leave in lieu of suspension, so long as there is no subsequent action of record during the six (6)-year period. After six (6) years from the date of a suspension or forfeiture of accrued leave in lieu of suspension or any extension of such six (6)-year period caused by a subsequent action of record, the suspension or forfeiture of accrued leave in lieu of suspension shall be removed from the file.
 
 (D) Investigations Held In Abeyance. The specified time period for the maintenance of disciplinary records referenced in Section 10.10(A), (B) and (C) shall be measured from the date of the resumption of an investigation that is held in abeyance due to the pendency of a related criminal case or due to other exceptional circumstances beyond the control of the City.
 
 (E) Demotions/Terminations. Records of demotions or terminations shall be maintained in each member's Division master personnel file throughout the member's employment and reemployment or reappointment (if any)."" (L) Records of Sustained Finding of Untruthfulness. Notwithstanding the provisions of this Section 10.10, records for sustained acts of untruthfulness shall be maintained in a file separate from a member's personnel file throughout a member's employement.",Erases records after three years.,Contract,12/8/17,10.1,105,,Yes,@samswey
Erases misconduct records,Detroit,All written reprimands will be issued and implemented as soon as practicable following an investigation. Written reprimands will remain in employees' files for a period of time not to exceed two (2) years from the date of issuance of the reprimand.,Erases records of written reprimands for misconduct after two years,Contract,12/31/19,9.H,126,,Yes,@samswey
Erases misconduct records,Detroit,"The Department may conduct informal counseling sessions concerning minor misconducts, actions, or omissions. Such counseling sessions will not be considered disciplinary action, but the substance of the counseling session may be reduced to writing and added to an Employee's file for up to one (1) year.",Erases records of counseling for misconduct after one year,Contract,12/31/19,9.I,128,,Yes,@samswey
Erases misconduct records,Henderson,"Records Purging. All disciplinary matters will be removed, upon the members
 
 request, from the HPOA Members personnel file at the following times and under
 
 the following conditions.
 
 Disciplinary Transfer- two (2) years after the date the employee signs or is given the opportunity to sign the adjudication.",Erases records of disciplinary transfers after 2 years,Contract,6/30/10,Article 25.5d,170,,Yes,@samswey
Erases misconduct records,Henderson,"Records Purging. All disciplinary matters will be removed, upon the members
 
 request, from the HPOA Members personnel file at the following times and under
 
 the following conditions.
 
 Major Suspension (41 or more hours) - five (5) years after the date the employee signs or is given the opportunity to sign the adjudication.",Erases records of suspensions after 5 years,Contract,6/30/10,Article 25.5c,172,,Yes,@samswey
Erases misconduct records,Henderson,"Written Reprimand- 24 months after the date the employee signs or is given the opportunity to sign the adjudication. Any subsequent corrective action of a similar nature shall extend the purging of the original discipline by another 12 months or the purge length of the latest disciplinary action, whichever is shortest. (b) Minor Suspension (less than 41 hours) - three (3) years after the date the employee signs or is given the opportunity to sign the adjudication. Any subsequent corrective action of a similar nature shall extend the purging of the original discipline by another 24 months or the purge length of the latest disciplinary action, whichever is shortest.",Minor suspension purged after 3 years,Contract,6/30/10,Article 25.a + b,173,,Yes,@samswey
Erases misconduct records,Hialeah,Any employee of this bargaining unit who is the subject of an internal investigation or review board will have the right to have all documents and reports purged from his personnel file if he is found to be not guilty.,Erases exonerated/unsubstantiated violations,Contract,9/30/16,25.2.N,176,,Yes,@samswey
Erases misconduct records,Honolulu,Destruction of Derogatory Material After Four Years - Any derogatory materials more than four (4) years old shall be destroyed provided that a summary notation shall be retained as part of the record.,Erases 'derogatory material' after 4 years no matter what,Contract,6/30/17,"A28, B. 4.",184,Yes,Yes,@samswey
Erases misconduct records,Honolulu,"No materials concerning a complaint shall be entered in any personnel file of the employee in cases where the employee has been exonerated, or in which the complaint is determined to be unfounded.","Complaints not entered into personnel file if they aren't proven, so important patterns can be lost",Contract,6/30/17,"A12, B. 2. c.",185,Yes,Yes,@samswey
Erases misconduct records,Honolulu,Removal of Derogatory Material - An employee may request that any derogatory material which has become insignificant with age be reviewed and destroyed after two (2) years.,Erases 'derogatory material' after 2 years if requested,Contract,6/30/17,"A28, B. 2.",186,Yes,Yes,@samswey
Erases misconduct records,Houston,"Any letter, memorandum, document, notes or other communication (oral or written) disclosed in the mediation process shall be confidential and not be made public nor shall it be included in the officer's personnel of other departmental files.",All records of mediation are not made public nor included in the officer's file,Contract,12/31/18,Article 29 3,197,,Yes,@samswey
Erases misconduct records,Houston,"If the disciplinary action is overturned in its entirety on appeal by the Commission, an IHE, or a court of competent jurisdiction, the Human Resources irector promptly shall order that the records of a discipllinary action that was taken against an officer be expunged from each file maintained (does not apply to use of deadly force that is being investigated by an external agency).",Erases records for any complaint that has been expunged,Contract,12/31/18,31.11,198,,Yes,@samswey
Erases misconduct records,Irvine,Employees shall have the right to have documented disciplinary actions and other adverse documented incidents removed from their Department personnel files pursuant to Police Department Procedure 2.02.17,Erases disciplinary records after a period of time pursuant to department policy,Contract,12/10/17,Article III,211,,Yes,@samswey
Erases misconduct records,Jacksonville,"Files that contain the following information will be purged on the following schedule:
 
  Formal Investigations - Cases that are unfounded, exonerated, or not sustained - one (1) year from the date of case disposition.
 
  Sustained Formal Investigations cases involving written reprimand without suspension - three (3) years from the date of case disposition.
 
  Sustained Formal Investigations - cases involving written reprimand with suspension or loss of pay - five (5) years from the date of the case disposition.
 
  Formal Counseling will be purged one (1) year from the date of issue. Official records of Formal Counseling will be maintained in the employees division file, and not in the Internal Affairs unit. The employees division file will follow the employee as that employee is reassigned throughout the agency.",Erases formal investigations after 1-5 years,Contract,9/30/14,Article 14,213,,Yes,@samswey
Erases misconduct records,Laredo,"Letters of reprimand and suspensions of less than 5 days will be removed from the personnel file after five years upon request of the officer. Suspensions between 6 an 15 days will be removed from the personnel file after 10 years upon request of the officer"".","Erases reprimands after 5 years, suspensions after 10 years.",Contract,9/30/16,Article 26.5,242,,Yes,@samswey
Erases misconduct records,Las Vegas,All disciplinary matters will be removed from the personnel file at the following times and under the following conditions. A subsequent disclipline of a similar nature is defined as a disciplinary action that is similar because it is: a performance issue; misconduct issue as defined in Civil Service Rule 510; or adjudicated through the Accident Review Board Process. Written reprimand - 18 months after the date the employee signs or is given the opportunity to sign the adjudication or three months after the filiing of the statement of complaint. Minor suspension: three years after the date the employee signs or is given the opportunity to sign the adjudication or three months after the filing of the statement of complaint. Major suspention: five years after the date the employee signs or is given the opportunity to sign the adjudication or three months after the filing of the statement of complaint. Disciplinary transfer: 2 years after the date the employee signs or is given the opportunity to sign the adjudication or three months after the filing of the statement of complaint.,No history of officer misconduct in files,Contract,6/30/19,Article 25.3,248,,Yes,@samswey
Erases misconduct records,Las Vegas,No citizen complaint shall be placed in an employee's file.,No recording complaints of officer misconduct in employee files,Contract,6/30/19,Article 25.3,249,,Yes,@samswey
Erases misconduct records,Las Vegas,"Personnel investigations that result in ""exonerated,"" ""unfounded"" or ""not sustained"" dispositions shall not be made a part of the employee's personnel file or supervisor's file.",No record of investigations or complaints that have been dismissed,Contract,6/30/19,Article 25.3,251,,Yes,@samswey
Erases misconduct records,Lexington,Coaching and counseling sessions shall be removed from the members record twelve (12) months from the date of the entry. Oral warnings shall be removed from the members record twelve (12) months from the date of the entry. Written reprimands and suspensions shall be removed from the members record twenty-four (24) months from the date of the entry.,timetable for erasure of disciplinary records,Contract,2016,Article 14.6,257,,Yes,@samswey
Erases misconduct records,Lexington,Supervisors may maintain one file on each member under their direct supervision and documents contained in the supervisory file shall not be retained after one (1) year from said documentation. A Member may review his supervisory file during his regular work shift upon request provided such review does not disrupt operations.,Supervisory files are erased after 1 year,Contract,2016,Article 15.6,259,,Yes,@samswey
Erases misconduct records,Lincoln,"FILE MAINTENANCE -- PERSONNEL ACTIONS. If an employee has received Personnel Actions, except suspension or dismissal, he may request in writing that those Personnel Actions over two (2) years old be removed from his files maintained in the City Personnel Department and the Police Department. No copies or notations of these Personnel Actions shall be maintained in either the City Personnel Department or the Police Department. Personnel Actions for suspension or dismissal will not be purged from an employee's personnel file. All Personnel Actions removed from files maintained at the City Personnel Department and Personnel Department at the Police Department will be returned to the employee requesting removal pursuant to this Section. When a Personnel Action is removed from the file pursuant to the contract, no document will be placed in the file reference to the document.",Erases (sustained/unsubstantiated/etc.) records from supervisory file after 2 years,Contract,8/31/15,"Article 8, section 6",263,,Yes,@samswey
Erases misconduct records,Louisiana Police Bill of Rights,"C.(1) A law enforcement officer, upon written request, shall have any record of a formal
 
 complaint made against the officer for any violation of a municipal or parish ordinance or state
 
 criminal statute listed in Paragraph (2) of this Subsection involving domestic violence expunged
 
 from his personnel file, if the complaint was made anonymously to the police department and the
 
 charges are not substantiated within twelve months of the lodging of the complaint.
 
 (2)(a) Any violation of a municipal or parish ordinance or state statute defining criminal battery
 
 and assault.
 
 (b) Any violation of other municipal or parish ordinances or state statutes including criminal
 
 trespass, criminal damage to property, or disturbing the peace if the incident occurred at either the
 
 home of the victim or the officer or the violation was the result of an obvious domestic dispute.","Erases exonerated/unsubstantiated violations, with a focus on domestic violence and other serious criminal allegations.",State Law,None,2533.C.1-2,269,,Yes,@samswey
Erases misconduct records,Louisiana Police Bill of Rights,"No law enforcement officer shall have any comment adverse to his interest entered in his personnel file, or any other file used for any personnel purposes by his employer, without the law enforcement officer's having first read and signed the instrument containing the adverse comment indicating he is aware of such comment",LEO must sign off on any negative comment about them in their personnel file,State Law,None,2533.A,270,,Yes,@samswey
Erases misconduct records,Louisville,"Documents contained in supervisory files shall not be retained after one (1) year
 
 from said documentation.",Erases supervisory files after 1 year,Contract,6/30/15,Article 18.4.C,276,Yes,Yes,@samswey
Erases misconduct records,Louisville,Documents contained in supervisory files shall not be retained after one (1) year from said documentation.,Erases supervisory files after 1 year,Contract,6/30/15,18.4.C,277,Yes,Yes,@samswey
Erases misconduct records,Maryland Police Bill of Rights,"(a) In general.- On written request, a law enforcement officer may have expunged from any file the record of a formal complaint made against the law enforcement officer if: (1) (i) the law enforcement agency that investigated the complaint: 1. exonerated the law enforcement officer of all charges in the complaint; or 2. determined that the charges were unsustained or unfounded; or (ii) a hearing board acquitted the law enforcement officer, dismissed the action, or made a finding of not guilty; and (2) at least 3 years have passed since the final disposition by the law enforcement agency or hearing board.",Erases exonerated or old records,State Law,None,3-110,294,,Yes,@samswey
Erases misconduct records,Memphis,Disciplinary resumes will contain sustained departmental charges only.,Erases unsustained violations,Contract,6/30/13,14,299,,Yes,@samswey
Erases misconduct records,Miami,"Records retained by Internal Affairs shall be destroyed after a period of five years beyond either the bargaining unit member's termination date, retirement date or unless otherwise directed by state law.",Erases records after officer no longer employed for 5 years,Contract,9/30/14,8.3,306,,Yes,@samswey
Erases misconduct records,Minneapolis,Investigations into an employee's conduct which do not result in the imposition of discipline shall not be entered into the employee's official personnel file maintained in the Police Department and/or the City's Human Resources Department.,Erases exonerated/unsubstantiated violations,Contract,12/31/19,12.01,319,,Yes,@samswey
Erases misconduct records,New Mexico Police Bill of Rights,No document containing comments adverse to a peace officer shall be entered into his personnel file unless the officer has read and signed the document.,Prevents adverse comments from being entered into an officer's personnel file without consent,State Law,None,29-14-7,342,,Yes,@samswey
Erases misconduct records,New York,"The Department will, upon written request to the Chief of Personnel by the individual employee, remove from the Personal Folder investigative reports which, upon completion of the investigation, are classified exonerated"" and/or ""unfounded.","Expunges ""unfounded/exonerated"" investigations",Contract,7/31/17,7.c,348,,Yes,@samswey
Erases misconduct records,New York,"Where an employee has been charged with a Schedule A"" violation as listed in Patrol Guide 118-2 and such case is heard in the Trial Room and dsiposition of the charge at trial or on review or appeal therefrom is other than ""guilty"", the employee concerned may, after 2 years from such disposition, petition the Police Commissioner for a review for the purpose of expunging the record of the case.","Expunges Schedule A violations after 2 years if ""not guilty"" found",Contract,7/31/17,8,349,,Yes,@samswey
Erases misconduct records,Omaha,An employee may request that any reprimand that is greater than one year old be removed from his personnel file.,An employee may request that any reprimand that is greater than one year old be removed from his personnel file.,Contract,12/21/13,6.2,370,,Yes,@samswey
Erases misconduct records,Omaha,An employee may request that any suspension that is greater than five (5) years old be removed from his personnel file.,An employee may request that any suspension that is greater than five (5) years old be removed from his personnel file.,Contract,12/21/13,6.3,372,,Yes,@samswey
Erases misconduct records,Orlando,"Any ""sustained"" findings inserted in an employee's Civil Service personnel File shall be removed after one (1) year from the employee's civil service Personnel File and placed in the lnternal Affairs disciplinary file which will be retained in accordance with Florida state statutes or as otherwise legally provided by law.",Erases sustained violations after 1 year,Contract,9/30/16,5.1,379,,Yes,@samswey
Erases misconduct records,Philadelphia,Written reprimands in a personnel file shall be removed from the record after two (2) years if the employee receives no further written reprimands or further disciplinary action within that period.,Erases records of written reprimands after 2 years,Contract,6/30/17,XX.E,593,,Yes,@samswey
Erases misconduct records,Philadelphia,"If the employee does not recieve any formal discipline during the twelve (12) month period, the discipline held in abeyance will be removed from the employee's record and it will be expunged from the officer's personel record.",Expunges any discipline record after 1 year if the Commissioner places it in abeyance,Contract,6/30/17,III.5,390,,Yes,@samswey
Erases misconduct records,Phoenix,"At his request, a unit member may have documents related to disciplinary actions which are over ten (10) years old removed from his division and department personnel files and moved to a section marked ""Inactive"" in the Central HR Department personnel file when there have been no incidents or problems of a similar nature within the ten year period immediately preceding the request. The term disciplinary actions is defined as follows:
 
 a. Any discipline given a unit member that resulted in a suspension of eighty (80) hours or less and,
 
 b. For an infraction which did not result in a criminal charge or actions which did not include violent or assaultive behavior directed at another person or,
 
 c. Any infraction that is no longer considered to be a disciplinary matter under current contemporary department standards in effect at the time of the unit member's file purge request.",Removes certain disciplinary records from officer personnel files,Contract,6/30/16,1.4.E.7,391,,Yes,@samswey
Erases misconduct records,Pittsburgh,"A sustained Disciplinary Action Report (""DAR"") disciplinary action shall be considered against an officer in any formal hearing for promotion or in any disciplinary hearing consistent with the following ""reckoning periods"": 1.Disciplinary action in the form of an oral written reprimand may be considered in determining the penalty for any subsequent offense by an officer or may be used against an officer for purposes of promotion for a period of one year. 2. Disciplinary action in the form of a written reprimand may be considered in determining the penalty for any subsequent offense by an officer or may be used against an officer for purposes of promotion for a period of two years.
 
  3. Disciplinary action in the form of a suspension may be considered in determining the penalty for any subsequent offense by an officer or may be used against an officer for purposes of promotion for a period of five years.",History of disciplinary actions are erased after specified number of years.,Contract,12/31/14,Section 19.II.A,399,Yes,Yes,@samswey
Erases misconduct records,Pittsburgh,The City will remove DAR's from an officer's PAR's system and file at the conclusion of the appropriate reckoning period.,History of disciplinary actions are erased after specified number of years.,Contract,12/31/14,Section 19.II.B.1,400,Yes,Yes,@samswey
Erases misconduct records,Pittsburgh,"When a police officer is accused of misconduct on either a Bureau charge or on a citizen complaint and the charge or complaint is unfounded, then all records of the investigation are to be destroyed one year after the investigation is completed and the officer shall be notified.",Erases unfounded complaints after 1 year,Contract,12/31/14,Section 21.B.12,401,Yes,Yes,@samswey
Erases misconduct records,Portland,"When the investigation results in a determination of a sustained complaint and disciplinary action, only the findings and the disciplinary order may be placed in the officers Personnel and 201 files.",Limits information about misconduct entered into personnel files,Contract,6/30/20,61.2.4.1,409,,Yes,@samswey
Erases misconduct records,Reno,"(1) Disciplinary actions other than letters of reprimand shall be sealed upon written request by the employee to the Chief of Police with a copy to the Human Resources Department according to the following schedule: A) Suspension of less than three (3) days, without recurrence, three (3) years from the date of the incident giving rise to the suspension; B) Suspensions of three (3) days or more, with no recurrence, five (5) years from the date of the incident giving rise to the suspension. (2) It is the intent of the parties that ""recurrence"" shall mean repetition of the same or similar act, error, or omission on the part of the employee as provided for in the Department Operations Manual or in the Civil Service Rules. The City agrees that arbitrary or capricious application of this definition of ""recurrence"" shall be subject to the grievance procedure. (3) Sealing shall include sealing of all memos, letters, correspondence, complaint forms and any other written material pertaining to the disciplinary action. (4) Sealing shall not include the sealing of any material related to criminal offenses for which the employee was charged except in concurrence with the sealing or expungement of criminal charges by a court of competent jurisdiction, or except in the event of complete exoneration of the employee by the court. (5) The City Human Resources Department shall be notified in all cases where sealing of disciplinary action is taken, and Human Resources Department file copies will be sealed accordingly.","Discipline documents are ""sealed"" and can't be opened without officer's request",Contract,12/31/14,"Article 29.g, 1-5",418,,Yes,@samswey
Erases misconduct records,Reno,"Letters of reprimand will be effective for a period of twelve (12) months following date of incident and, provided there are no intervening reprimands or more severe disciplinary action having a same or similar relationship to the original incident, thereafter shall be of no further effect and shall be removed from files upon request of the affected employee.",Reprimands destroyed after one year.,Contract,12/31/14,Article 29.c.2,420,,Yes,@samswey
Erases misconduct records,Reno,"unless the employee requests such unsealing -- and then only for examination by the person or persons which the employee specified, or at the direction of the Chief of Police who may deem it necessary.",Only Office of Chief of Police may unseal records,Contract,12/31/14,Article 29.g.7,421,,Yes,@samswey
Erases misconduct records,Rochester,"The record of any command discipline shall be removed from a member's personnel record after the member has had no other discipline imposed for a period of one year, and will not be used against the member thereafter. Upon request of the member, such written records shall be destroyed or returned to him.",Erases records of command discipline after 1 year if no further incident has occurred,Contract,6/30/16,20.2.G,438,,Yes,@samswey
Erases misconduct records,Sacramento,"Documented disciplinary actions, or other related adverse documented comments entered in the employee's Office file, shall be removed from the Office file after one year from the date of documentation.",Erases sustained violations after 1 year,Contract,6/21/19,3.3.2.a.5,445,,Yes,@samswey
Erases misconduct records,Sacramento,Such letter will be withdrawn from an employee's official personnel file two (2) years from the date of issue provided there has not been additional formal discipline imposed during the two-year period.,"Erases ""letter of reprimand"" after 2 years",Contract,6/21/19,21.2.b,447,,Yes,@samswey
Erases misconduct records,San Antonio,"Upon execution of this Agreement, suspensions of three (3) days or less that were not appealed by the Officer shall be automatically reduced to a written reprimand two (2) years after the date the suspension was served on the Officer if the Officer did not have a sustained complaint for the same rule within two (2) years from the date the suspension was served on the officer. Suspensions that were appealed to the Commission or Arbitrator by the Officer are not eligible to be reduced to a written reprimand under this Section. The original suspension
 
 paperwork sent to the Commission will reflect the conditions of this Section to reduce the applicable suspension to a written reprimand. The reduction of any suspension contained within this subsection does not qualify for any form of reimbursement to the employee.","Erases records of suspensions after 2 years, replaces them with written reprimands",Contract,9/30/21,28.19.E,452,,Yes,@samswey
Erases misconduct records,Seattle,"After three years from the date of a written reprimand, an employee who is not the subject of any subsequent sustained complaints or of a pending investigation may petition the Chief for the removal of the reprimand from his/her personnel file. The Chief shall consider the circumstances and the employee's request for such removal and advise the employee of his/her decision.",Erases records of written reprimands after 3 years,Contract,12/31/14,4.2.C,476,Yes,Yes,@samswey
Erases misconduct records,Seattle,"Internal investigation files shall not be retained longer than the current year plus three years from the date the investigation was initiated, except for cases that remain pending, are on appeal, are subject to a court order requiring their preservation, or where pending civil, criminal, disciplinary, or administrative proceedings make it appropriate to retain the file for a longer period of time.",Erases internal investigatory files after 3 years,Contract,12/31/14,3.6.L,477,Yes,Yes,@samswey
Erases misconduct records,Spokane,"Employees may request (to the Chief of Police) that written reprimands be expunged from personnel files after a minimum period of 3 years if there is no reoccurrence of similar misconduct for which the employee was disciplined during that period. Employees may request that records of serious discipline be expunged from personnel files after a minimum period of five years if there is no recurrence of similar misconduct for which the employee was disciplined during that period. Requests for the expungement of disciplinary references in personnel files, pursuant to this section, shall not be unreasonably denied. Nothing in this section shall be construed as requiring the City to destroy any employment records.",Erases sustained violations after 3 years,Contract,12/31/16,24.A,493,,Yes,@samswey
Erases misconduct records,St. Paul,A. Internal affairs case files and reports may be destroyed and/or expunged after six years of the complaints final disposition date.,Erases exonerated/unsubstantiated violations,Contract,12/31/15,SPPD 230.00 X,505,,Yes,@samswey
Erases misconduct records,St. Paul,C. Sustained complaints case files and reports with a discipline disposition (as defined in this policy) will be retained until six months after separation of employment of the principal officer at which time it will be destroyed and/or expunged.,Erases sustained violations after 6 months after an officer transfers out of the department,Contract,12/31/15,SPPD 230.00 X,507,,Yes,@samswey
Erases misconduct records,Toledo,"(D) Suspensions, as set forth in (B) and (C) above, may be removed after two (2) years from the date of the suspension at the discretion of the Chief of Police.",Erases sustained violations after 2-5 years,Contract,12/31/17,2129.26.D,536,,Yes,@samswey
Erases misconduct records,Toledo,The City shall only retain disciplinary records (including but not limited to records contained in the personnel service file and investigative files) for the time periods set forth in the following schedule: 5 years All records relating to cases of suspensions of 30 days or more. 4 years All other disciplinary records.,Erases sustained violations after 4-5 years,Contract,12/31/17,2129.25,537,,Yes,@samswey
Erases misconduct records,Tulsa,"Complaints that were investigated and determined to be unfounded, exonerated or not sustained shall not be considered, utilized, or compiled in any report to determine disciplinary action that might be taken in regards to an investigation. After the statute of limitations expires on civil or criminal matters, not sustained or unfounded allegations against an Employee shall be removed from the Employee's file, provided there have been no similar allegations during the above-mentioned period.","Unsustained/unfounded allegations removed from employees file after statute of limitations expires, provided no similar allegations in time since",Contract,6/30/16,11.4,547,,Yes,@samswey
Erases misconduct records,Washington D.C.,"The Department, upon written request of an employee, will remove from the Personnel Folder investigative reports which, upon completion of the investigation are classified ""exonerated"" and/or ""unfounded. Complaints against employees that are pending Department review, or that have been classified as ""exonerated"" and/or ""unfounded"" shall not be used to support a current allegation of wrongdoing or proposed penalty against an employee.",Erases exonerated/unsubstantiated violations,Contract,9/30/08,16.3,558,,Yes,@samswey
Erases misconduct records,Wichita,Any letter of disciplinary action to be placed in an employees personnel file shall specify the date when such letter is to be removed from such file (provided no subsequent discipline has been imposed during said period) or if appropriate specify that the letter is permanent and shall not be removed from the file.,Provides for the erasure of disciplinary action letters,Contract,12/24/10,14.8,571,Yes,Yes,@samswey
Erases misconduct records,Vallejo,"1. Written Reprimands _ Sustained or unappealed written reprimands shall be removed from the employeeگs personnel file two years from the date of issue, unless such written reprimand is used as part of a progressive disciplinary action taken within the two year period. In such case, the written reprimand shall be subjected to the schedule in subsection 2 below. 2. Suspensions, Fines or Demotions _ Sustained or unappealed suspensions, fines or demotions shall be removed from the employeeگs personnel file five years from the date of issue or in the case of a sustained (or modified) appeal of such action by the Civil Service Commission, five years from the date of the decision of by the Civil Service Commission, unless such disciplinary action is used as part of a progressive disciplinary action taken within the five year period.",Removes disciplinary actions from personnel file as early as 2 years and no later than 5 years.,Contract,6/30/10,42.B,,,,
